perfume_id,brand,perfume_name,full_name,perfume_type,family,top_notes,middle_notes,base_notes,occasions,moods,professional_description,customer_query_example,all_notes
28,Jean Paul Gaultier,Amber Nectar,Jean Paul Gaultier Amber Nectar,Eau de Toilette,Woody,"Bergamot, Mint, Pear, Orange","Ylang-ylang, Cinnamon, Tuberose","Labdanum, Oud",daily wear,"energetic, elegant","Jean Paul Gaultier Amber Nectar is a captivating Woody fragrance. It opens with vibrant notes of Bergamot, Mint, Pear and Orange. The heart reveals Ylang-ylang, Cinnamon and Tuberose. Base notes of Labdanum, Oud provide a lasting and memorable impression.","I love Ylang-ylang and Bergamot, what should I get?","Bergamot, Mint, Pear, Orange, Ylang-ylang, Cinnamon, Tuberose, Labdanum, Oud"
29,Jean Paul Gaultier,Midnight,Jean Paul Gaultier Midnight,Intense,Fresh,"Jasmine, Lime","Peony, Gardenia","Sandalwood, Musk, Patchouli",office,"energetic, sensual","Jean Paul Gaultier Midnight is a captivating Fresh fragrance. It opens with vibrant notes of Jasmine and Lime. The heart reveals Peony and Gardenia. Base notes of Sandalwood, Musk, Patchouli provide a lasting and memorable impression.",Looking for office fragrance with Sandalwood base,"Jasmine, Lime, Peony, Gardenia, Sandalwood, Musk, Patchouli"
30,Gucci,Jasmine Noir,Gucci Jasmine Noir,Eau de Toilette,Aquatic,"Petitgrain, Mint","Clove, Ylang-ylang, Orchid","Praline, Amber, Vanilla",romantic dinner,"bold, warm","Gucci Jasmine Noir is a captivating Aquatic fragrance. It opens with vibrant notes of Petitgrain and Mint. The heart reveals Clove, Ylang-ylang and Orchid. Base notes of Praline, Amber, Vanilla provide a lasting and memorable impression.",Need aquatic with Clove for romantic dinner,"Petitgrain, Mint, Clove, Ylang-ylang, Orchid, Praline, Amber, Vanilla"
31,Calvin Klein,Exotic Secret,Calvin Klein Exotic Secret,Eau de Parfum,Aquatic,"Basil, Orange, Mandarin","Tuberose, Rose, Clove","Tobacco, Benzoin, Cashmere Wood","spring, fall","fresh, sophisticated","Calvin Klein Exotic Secret is a captivating Aquatic fragrance. It opens with vibrant notes of Basil, Orange and Mandarin. The heart reveals Tuberose, Rose and Clove. Base notes of Tobacco, Benzoin, Cashmere Wood provide a lasting and memorable impression.",I'm looking for something fresh for spring,"Basil, Orange, Mandarin, Tuberose, Rose, Clove, Tobacco, Benzoin, Cashmere Wood"
32,Carolina Herrera,Love Intense,Carolina Herrera Love Intense,Pour Femme,Aromatic,"Cardamom, Neroli, Basil, Bergamot","Honeysuckle, Orange Blossom, Jasmine","Tobacco, Incense","daily wear, beach day","sensual, confident","Carolina Herrera Love Intense is a captivating Aromatic fragrance. It opens with vibrant notes of Cardamom, Neroli, Basil and Bergamot. The heart reveals Honeysuckle, Orange Blossom and Jasmine. Base notes of Tobacco, Incense provide a lasting and memorable impression.","Something perfect for daily wear, makes me feel sensual","Cardamom, Neroli, Basil, Bergamot, Honeysuckle, Orange Blossom, Jasmine, Tobacco, Incense"
33,Le Labo,Pure Paradise,Le Labo Pure Paradise,Eau de Toilette,Oriental,"Petitgrain, Lavender, Grapefruit, Bergamot","Lily, Peony","Cocoa, Amber","fall, daily wear",energetic,"Le Labo Pure Paradise is a captivating Oriental fragrance. It opens with vibrant notes of Petitgrain, Lavender, Grapefruit and Bergamot. The heart reveals Lily and Peony. Base notes of Cocoa, Amber provide a lasting and memorable impression.",What has Cocoa and works for fall?,"Petitgrain, Lavender, Grapefruit, Bergamot, Lily, Peony, Cocoa, Amber"
34,Maison Francis Kurkdjian,Musk,Maison Francis Kurkdjian Musk,Parfum,Gourmand,"Neroli, Apple, Mandarin","Rose, Peony, Lily","Cocoa, Tobacco","beach day, date night","fresh, luxurious","Maison Francis Kurkdjian Musk is a captivating Gourmand fragrance. It opens with vibrant notes of Neroli, Apple and Mandarin. The heart reveals Rose, Peony and Lily. Base notes of Cocoa, Tobacco provide a lasting and memorable impression.",What has Cocoa and works for beach day?,"Neroli, Apple, Mandarin, Rose, Peony, Lily, Cocoa, Tobacco"
35,Narciso Rodriguez,Enigma,Narciso Rodriguez Enigma,Intense,Fresh,"Bergamot, Mint, Petitgrain","Tuberose, Cardamom","Cedar, Benzoin","office, spring","fresh, sophisticated","Narciso Rodriguez Enigma is a captivating Fresh fragrance. It opens with vibrant notes of Bergamot, Mint and Petitgrain. The heart reveals Tuberose and Cardamom. Base notes of Cedar, Benzoin provide a lasting and memorable impression.",I'm looking for something fresh for office,"Bergamot, Mint, Petitgrain, Tuberose, Cardamom, Cedar, Benzoin"
36,Gucci,Royal,Gucci Royal,Intense,Aquatic,"Saffron, Basil, Mandarin","Geranium, Jasmine","Ambergris, Leather, Benzoin",casual,romantic,"Gucci Royal is a captivating Aquatic fragrance. It opens with vibrant notes of Saffron, Basil and Mandarin. The heart reveals Geranium and Jasmine. Base notes of Ambergris, Leather, Benzoin provide a lasting and memorable impression.","Something perfect for casual, makes me feel romantic","Saffron, Basil, Mandarin, Geranium, Jasmine, Ambergris, Leather, Benzoin"
37,Lancôme,Love Noir,Lancôme Love Noir,Eau de Toilette,Woody,"Pink Pepper, Blackcurrant, Apple","Violet, Jasmine, Nutmeg","Patchouli, Musk",casual,romantic,"Lancôme Love Noir is a captivating Woody fragrance. It opens with vibrant notes of Pink Pepper, Blackcurrant and Apple. The heart reveals Violet, Jasmine and Nutmeg. Base notes of Patchouli, Musk provide a lasting and memorable impression.",Looking for casual fragrance with Patchouli base,"Pink Pepper, Blackcurrant, Apple, Violet, Jasmine, Nutmeg, Patchouli, Musk"
38,Gucci,Black Orchid,Gucci Black Orchid,Intense,Floral,"Apple, Lavender, Blackcurrant, Petitgrain","Lavender, Cardamom","Praline, Ambergris, Cocoa","party, daily wear",sophisticated,"Gucci Black Orchid is a captivating Floral fragrance. It opens with vibrant notes of Apple, Lavender, Blackcurrant and Petitgrain. The heart reveals Lavender and Cardamom. Base notes of Praline, Ambergris, Cocoa provide a lasting and memorable impression.","Want to smell sophisticated and sophisticated, maybe something floral","Apple, Lavender, Blackcurrant, Petitgrain, Lavender, Cardamom, Praline, Ambergris, Cocoa"
39,Dior,Silver,Dior Silver,Parfum,Green,"Saffron, Petitgrain, Peach","Magnolia, Cardamom","Labdanum, Ambergris, Tobacco",date night,romantic,"Dior Silver is a captivating Green fragrance. It opens with vibrant notes of Saffron, Petitgrain and Peach. The heart reveals Magnolia and Cardamom. Base notes of Labdanum, Ambergris, Tobacco provide a lasting and memorable impression.",I'm looking for something romantic for date night,"Saffron, Petitgrain, Peach, Magnolia, Cardamom, Labdanum, Ambergris, Tobacco"
40,Maison Francis Kurkdjian,Le Desire,Maison Francis Kurkdjian Le Desire,Eau de Toilette,Woody,"Blackcurrant, Jasmine, Rose","Gardenia, Orchid","Cocoa, Tobacco",office,"confident, elegant","Maison Francis Kurkdjian Le Desire is a captivating Woody fragrance. It opens with vibrant notes of Blackcurrant, Jasmine and Rose. The heart reveals Gardenia and Orchid. Base notes of Cocoa, Tobacco provide a lasting and memorable impression.",What has Cocoa and works for office?,"Blackcurrant, Jasmine, Rose, Gardenia, Orchid, Cocoa, Tobacco"
41,Marc Jacobs,Love Noir,Marc Jacobs Love Noir,Intense,Gourmand,"Apple, Lemon, Rose, Lavender","Tuberose, Orange Blossom, Violet","Benzoin, Incense, Amber","evening, date night",elegant,"Marc Jacobs Love Noir is a captivating Gourmand fragrance. It opens with vibrant notes of Apple, Lemon, Rose and Lavender. The heart reveals Tuberose, Orange Blossom and Violet. Base notes of Benzoin, Incense, Amber provide a lasting and memorable impression.","I love Tuberose and Apple, what should I get?","Apple, Lemon, Rose, Lavender, Tuberose, Orange Blossom, Violet, Benzoin, Incense, Amber"
42,Lancôme,Love Elixir,Lancôme Love Elixir,Elixir,Gourmand,"Orange, Apple, Mandarin, Jasmine","Peony, Lavender, Ylang-ylang","Oakmoss, Tobacco",office,"elegant, warm","Lancôme Love Elixir is a captivating Gourmand fragrance. It opens with vibrant notes of Orange, Apple, Mandarin and Jasmine. The heart reveals Peony, Lavender and Ylang-ylang. Base notes of Oakmoss, Tobacco provide a lasting and memorable impression.",Need gourmand perfume for office and office,"Orange, Apple, Mandarin, Jasmine, Peony, Lavender, Ylang-ylang, Oakmoss, Tobacco"
43,Armani,Nectar Intense,Armani Nectar Intense,Eau de Parfum,Aquatic,"Neroli, Saffron","Freesia, Gardenia, Lavender","White Musk, Cocoa",evening,mysterious,"Armani Nectar Intense is a captivating Aquatic fragrance. It opens with vibrant notes of Neroli and Saffron. The heart reveals Freesia, Gardenia and Lavender. Base notes of White Musk, Cocoa provide a lasting and memorable impression.",Need aquatic perfume for evening and evening,"Neroli, Saffron, Freesia, Gardenia, Lavender, White Musk, Cocoa"
44,Hermès,Gold,Hermès Gold,Pour Homme,Green,"Cardamom, Lemon, Pink Pepper, Petitgrain","Cinnamon, Orange Blossom","Musk, Patchouli, Vanilla",party,"dreamy, energetic","Hermès Gold is a captivating Green fragrance. It opens with vibrant notes of Cardamom, Lemon, Pink Pepper and Petitgrain. The heart reveals Cinnamon and Orange Blossom. Base notes of Musk, Patchouli, Vanilla provide a lasting and memorable impression.",Searching for a dreamy scent with Cardamom,"Cardamom, Lemon, Pink Pepper, Petitgrain, Cinnamon, Orange Blossom, Musk, Patchouli, Vanilla"
45,Cartier,Royal Paradise,Cartier Royal Paradise,Parfum,Floral,"Lime, Mandarin","Geranium, Peony","Amber, Ambergris, Cashmere Wood",romantic dinner,sensual,"Cartier Royal Paradise is a captivating Floral fragrance. It opens with vibrant notes of Lime and Mandarin. The heart reveals Geranium and Peony. Base notes of Amber, Ambergris, Cashmere Wood provide a lasting and memorable impression.",Looking for romantic dinner fragrance with Amber base,"Lime, Mandarin, Geranium, Peony, Amber, Ambergris, Cashmere Wood"
46,Marc Jacobs,Absolute,Marc Jacobs Absolute,Extreme,Fresh,"Basil, Lavender","Gardenia, Peony, Lily","White Musk, Cocoa","office, romantic dinner","fresh, mysterious","Marc Jacobs Absolute is a captivating Fresh fragrance. It opens with vibrant notes of Basil and Lavender. The heart reveals Gardenia, Peony and Lily. Base notes of White Musk, Cocoa provide a lasting and memorable impression.","I love Gardenia and Basil, what should I get?","Basil, Lavender, Gardenia, Peony, Lily, White Musk, Cocoa"
47,Thierry Mugler,Midnight,Thierry Mugler Midnight,Pour Femme,Aquatic,"Peach, Bergamot","Magnolia, Rose, Peony","Incense, Cedar, Vetiver",formal event,luxurious,"Thierry Mugler Midnight is a captivating Aquatic fragrance. It opens with vibrant notes of Peach and Bergamot. The heart reveals Magnolia, Rose and Peony. Base notes of Incense, Cedar, Vetiver provide a lasting and memorable impression.",I'm looking for something luxurious for formal event,"Peach, Bergamot, Magnolia, Rose, Peony, Incense, Cedar, Vetiver"
48,Lancôme,Essence,Lancôme Essence,Pour Femme,Floral,"Lavender, Rose, Pear, Saffron","Honeysuckle, Freesia","Oakmoss, Patchouli, Tobacco",winter,"bold, elegant","Lancôme Essence is a captivating Floral fragrance. It opens with vibrant notes of Lavender, Rose, Pear and Saffron. The heart reveals Honeysuckle and Freesia. Base notes of Oakmoss, Patchouli, Tobacco provide a lasting and memorable impression.","Want to smell bold and elegant, maybe something floral","Lavender, Rose, Pear, Saffron, Honeysuckle, Freesia, Oakmoss, Patchouli, Tobacco"
49,Hermès,Noir Intense,Hermès Noir Intense,Elixir,Aromatic,"Neroli, Orange","Violet, Rose, Cardamom","Tonka Bean, Cashmere Wood","beach day, winter",mysterious,"Hermès Noir Intense is a captivating Aromatic fragrance. It opens with vibrant notes of Neroli and Orange. The heart reveals Violet, Rose and Cardamom. Base notes of Tonka Bean, Cashmere Wood provide a lasting and memorable impression.",Looking for beach day fragrance with Tonka Bean base,"Neroli, Orange, Violet, Rose, Cardamom, Tonka Bean, Cashmere Wood"
50,Jo Malone,White Dream,Jo Malone White Dream,Pour Homme,Woody,"Basil, Lime","Nutmeg, Freesia, Peony","Oud, Oakmoss",wedding,warm,"Jo Malone White Dream is a captivating Woody fragrance. It opens with vibrant notes of Basil and Lime. The heart reveals Nutmeg, Freesia and Peony. Base notes of Oud, Oakmoss provide a lasting and memorable impression.",I want something like Jo Malone but more warm,"Basil, Lime, Nutmeg, Freesia, Peony, Oud, Oakmoss"
51,Valentino,Essence Elixir,Valentino Essence Elixir,Pour Femme,Gourmand,"Petitgrain, Bergamot, Pear","Cardamom, Orange Blossom","Ambergris, Amber, Musk",date night,"romantic, relaxed","Valentino Essence Elixir is a captivating Gourmand fragrance. It opens with vibrant notes of Petitgrain, Bergamot and Pear. The heart reveals Cardamom and Orange Blossom. Base notes of Ambergris, Amber, Musk provide a lasting and memorable impression.",I'm looking for something romantic for date night,"Petitgrain, Bergamot, Pear, Cardamom, Orange Blossom, Ambergris, Amber, Musk"
52,Dolce & Gabbana,Intense,Dolce & Gabbana Intense,Parfum,Chypre,"Cardamom, Apple","Violet, Jasmine, Ylang-ylang","Ambergris, Sandalwood, Oakmoss",office,elegant,"Dolce & Gabbana Intense is a captivating Chypre fragrance. It opens with vibrant notes of Cardamom and Apple. The heart reveals Violet, Jasmine and Ylang-ylang. Base notes of Ambergris, Sandalwood, Oakmoss provide a lasting and memorable impression.","Something perfect for office, makes me feel elegant","Cardamom, Apple, Violet, Jasmine, Ylang-ylang, Ambergris, Sandalwood, Oakmoss"
